Year,White alone,Black alone,Asian alone,Hispanic
2021,79.9,92.7,78.1,86.2
2020,79.9,85.6,83.1,86.0
2019,78.7,90.0,75.1,87.0
2018,78.6,85.7,79.0,83.8
2017,78.6,88.7,76.6,85.5
2017,77.0,87.3,75.9,82.3
2016,79.0,87.7,77.2,84.4
2015,75.3,88.1,78.2,87.2
2014,75.4,82.4,81.4,87.7
2013,77.4,83.4,73.5,93.5
2012,77.9,88.0,77.6,88.2
2011,77.1,84.8,74.2,91.1
2010,77.5,87.7,79.8,89.2
2009,75.0,84.9,81.8,86.6
2008,73.0,84.4,82.2,86.7
2007,73.0,86.0,79.6,88.1
2006,73.8,87.3,76.4,86.7
2005,73.5,89.7,75.1,90.5
2004,71.4,88.6,78.3,88.1
2003,71.6,83.6,71.5,85.7
2002,73.9,85.6,75.1,84.4

